Customer id,State, Last yr sales , Prior yr sales ,Life orders,Entry date,Cust type id
209825,FL,2888,711,45,2005-02-28,Gift Basket Store
232556,IN,2887,4064,18,2005-05-25,Gift Basket Home
35927,MN,2864,1742,101,1996-05-16,Gift Basket 
247688,MO,2856,2209,39,2011-08-10,Grocery
270495,MT,2853,  -   ,1,2017-12-12,Gift Basket 
250968,CO,2807,2115,28,2014-12-01,Hotel
221228,NV,2794,4205,79,2002-07-23,Gift Basket Home
238814,GA,2790,926,7,2005-10-27,Gift Basket Home
248688,FL,2756,431,15,2012-07-25,Gift Basket Home
233743,CA,2749,3466,159,2005-08-22,Gift Basket 
244589,MN,2747,3020,146,2008-07-18,Gift Basket Home
247861,MI,2741,2959,27,2011-10-10,Gift Basket Store
245238,NJ,2724,1788,17,2008-12-01,Gift Basket Store
248812,TX,2711,2406,45,2012-08-30,Gift Basket Home
270069,OH,2696,72282,20,2017-02-23,Gift Packer
280383,TN,2683,  -   ,3,2018-11-14,Grocery
249706,RI,2671,2114,17,2013-06-21,Liquor
248599,NY,2647,  -   ,5,2012-06-26,EVENT
40479,IL,2643,2627,104,1996-09-03,Gift Basket Home
250296,MO,2640,2437,42,2014-02-04,Florist
172902,FL,2630,2378,29,1999-01-09,Gift Basket Store
250403,MO,2576,2566,17,2014-04-04,Restaurant 
249121,NC,2567,2818,47,2012-11-14,Gift Basket Store
280016,AL,2559,  -   ,15,2018-01-08,Gift Basket Store
239795,GA,2558,1825,76,2006-02-24,Gift Basket Store
280407,NV,2527,  -   ,1,2018-11-26,Gift Store
234714,NY,2509,2518,13,2005-09-02,Florist
280306,CA,2505,  -   ,1,2018-10-16,Gift Basket Store
245713,NV,2497,850,114,2009-06-11,Hotel
244859,NM,2472,2529,36,2008-09-18,WINERY
242515,NC,2456,3365,61,2007-02-15,Gift Basket Home
233020,IA,2435,2227,77,2005-08-01,Gift Basket Store
270346,FL,2426,547,8,2017-10-03,Specialty Food Store
251241,IL,2398,2846,33,2015-04-10,UNK
22505,TX,2389,3173,44,1996-07-30,Florist
280110,GA,2388,  -   ,9,2018-05-01,WINERY
260476,MD,2386,2029,17,2016-11-09,WINERY
250010,PA,2366,3524,23,2013-11-11,Florist
42164,CT,2351,1081,12,1996-10-02,Florist
209571,GA,2345,2182,47,2005-02-28,Gift Store
270365,NY,2330,  -   ,4,2017-10-18,Gift Basket Store
248625,VA,2321,2508,74,2012-07-05,WINERY
251155,MO,2310,2558,46,2015-02-06,WINERY
270228,IL,2303,2138,5,2017-06-26,Gift Basket Home
247063,NJ,2282,  -   ,6,2010-10-29,Gift Store
31413,NJ,2249,1385,30,1996-02-01,Florist
247745,MI,2229,2412,12,2011-09-01,Gift Basket 
217823,NY,2220,3123,33,2001-11-09,WINE
260216,GA,2205,3206,16,2016-06-24,Gift Store
35718,IL,2195,3885,132,1996-05-13,WINERY
230734,CA,2168,  -   ,15,2004-09-17,CT
280365,FL,2155,  -   ,3,2018-11-08,Gift Basket Store
260087,TX,2150,2082,13,2016-03-18,Gift Basket Store
280301,CO,2142,  -   ,3,2018-10-12,Florist
248989,OH,2094,1991,18,2012-10-22,Gift Basket Store
127128,FL,2094,1456,82,2005-02-28,Florist
251409,IN,2067,2838,10,2015-08-15,WINE
270467,TX,2059,270,7,2017-12-08,Gift Basket Store
251354,CA,2057,  -   ,7,2015-07-08,Gift Basket Home
280373,CA,2056,  -   ,3,2018-11-09,Gift Basket Store
251670,VA,2053,2151,10,2015-11-18,Gift Store
260439,FL,2052,1133,10,2016-10-31,Florist
280164,MO,2049,  -   ,5,2018-06-22,WINERY
248983,AZ,2044,1206,93,2012-10-20,Gift Basket Store
244698,CA,2043,1633,21,2008-08-20,Gift Basket Store
201107,MO,2035,1512,116,1999-01-09,Gift Store
247286,NV,2027,1668,29,2011-01-06,Gift Store
244950,MN,2024,2160,11,2008-10-07,Gift Basket Home
250026,VA,2012,1762,8,2013-11-14,Gift Basket 
251538,NY,2012,1176,17,2015-10-19,Gift Basket Home
280363,NJ,1997,  -   ,2,2018-11-08,Liquor
260319,NY,1960,1158,5,2016-09-06,Gift Basket Home
250889,PA,1957,1806,14,2014-11-12,Gift Store
242778,CA,1938,1755,34,2007-04-23,Gift Basket Home
280254,PA,1937,  -   ,4,2018-09-20,Gift Basket Store
248912,VA,1928,1620,29,2012-10-02,Gift Basket Home
238945,DC,1920,324,73,2005-11-11,Gift Basket Home
270383,NY,1901,1818,5,2017-10-27,Gift Basket Store
270258,TX,1901,187,8,2017-07-26,Gift Basket Store
247616,CA,1898,1944,64,2011-07-13,WINE
245903,MI,1894,1462,45,2009-08-24,Gift Basket Home
260202,FL,1883,700,8,2016-06-10,Grocery
248533,VA,1853,2810,36,2012-05-25,UNK
250620,NY,1847,3040,24,2014-08-13,Florist
250871,NY,1838,1490,15,2014-11-06,EVENT
248787,CO,1832,1298,19,2012-08-23,Florist
243848,TX,1824,2126,33,2007-11-28,Gift Basket Home
250145,PA,1815,2401,48,2013-12-09,Gift Basket Home
248200,NM,1812,643,10,2011-12-15,WINERY
250277,WI,1775,1691,8,2014-01-29,Gift Basket 
270266,OH,1757,1149,26,2017-08-01,Gift Basket 
4276,FL,1754,476,43,1995-12-20,Florist
230313,OH,1751,2731,17,2004-08-31,Specialty Food Store
247699,GA,1744,1173,29,2011-08-11,WINERY
213413,KY,1735,1467,37,2000-12-08,Gift Basket Store
251545,NY,1714,1722,16,2015-10-22,WINERY
251709,AR,1713,966,20,2015-11-25,Gift Basket Home
280151,TX,1710,  -   ,5,2018-06-11,Gift Basket Store
22746,OH,1708,1323,60,1996-03-26,Florist
280241,PA,1704,  -   ,5,2018-09-11,Gift Basket Store
250966,AL,1686,1730,13,2014-11-26,Gift Store
246940,WI,1685,552,19,2010-09-30,Gift Basket Home
250419,AZ,1683,1873,30,2014-04-10,Gift Basket Home
250910,NE,1666,2119,11,2014-11-17,Restaurant 
246480,UT,1655,3220,28,2010-02-18,Liquor
280317,OK,1652,  -   ,3,2018-10-22,WINE
250506,CA,1650,404,24,2014-06-03,Gift Basket Store
245208,AL,1648,1709,135,2008-11-20,INT
280270,NY,1634,  -   ,6,2018-09-28,Gift Basket Home
260425,IN,1634,2613,15,2016-10-24,WINERY
46428,MA,1631,2222,28,1997-02-06,Gift Basket Home
251537,CA,1607,2402,21,2015-10-19,WINERY
280326,IL,1599,  -   ,3,2018-10-24,Gift Basket 
246911,MO,1595,1386,35,2010-09-15,OTH
280339,ID,1574,  -   ,1,2018-10-30,Gift Basket Store
280251,TX,1571,  -   ,4,2018-09-18,WINERY
128075,TN,1570,1576,119,1999-05-28,Florist
280249,WA,1562,  -   ,1,2018-09-17,Gift Basket 
243986,OR,1560,1929,16,2008-01-02,Gift Basket Home
270522,FL,1553,  -   ,3,2017-12-20,Gift Basket Store
280368,NJ,1547,  -   ,2,2018-11-08,Gift Store
16822,MD,1528,1431,22,1996-05-09,Gift Basket Store
280424,LA,1515,  -   ,3,2018-12-03,Gift Basket 
244155,MD,1513,2629,12,2008-02-25,Gift Basket Home
245559,PA,1510,1993,50,2009-03-26,Gift Basket Store
260450,GA,1498,779,5,2016-11-01,Gift Store
247010,GA,1485,2388,56,2010-10-21,Gift Basket Home
246244,FL,1472,828,12,2009-11-24,OTH
227420,VA,1461,1583,50,2003-09-29,Gift Basket Store
270271,NE,1456,1161,5,2017-08-07,Liquor
246667,CT,1454,1814,57,2010-05-17,WINERY
242192,FL,1447,1484,32,2006-12-12,Florist
242932,NH,1445,3085,40,2007-05-23,Gift Basket Store
251737,CO,1435,569,4,2015-12-03,Gift Store
260472,NY,1434,1100,6,2016-11-08,Liquor
260279,OH,1425,921,7,2016-08-12,WINE
250915,FL,1415,  -   ,4,2014-11-17,Liquor
260376,WA,1413,1131,7,2016-10-04,CT
260242,PA,1410,1433,8,2016-07-14,Gift Basket Store
260521,FL,1407,1431,3,2016-11-17,Gift Basket Store
250911,AL,1398,1308,19,2014-11-17,Liquor
247928,MA,1397,799,12,2011-10-21,WINE
147016,MA,1390,2040,72,1998-08-19,UNK
280017,WI,1386,  -   ,1,2018-01-11,Gift Store
251355,FL,1378,757,16,2015-07-10,Gift Basket Home
270273,TX,1376,1458,11,2017-08-08,Gift Basket Store
247838,KY,1373,979,12,2011-09-30,Florist
249006,MO,1371,1225,8,2012-10-26,EVENT
250774,NY,1365,570,10,2014-10-13,Gift Basket 
245448,IN,1364,320,6,2009-02-06,EVENT
245855,OH,1364,1294,13,2009-08-05,WINE
23314,NJ,1362,  -   ,31,1996-05-09,Gift Basket Store
247582,IL,1351,2348,18,2011-06-23,Florist
30506,KY,1350,  -   ,14,1996-01-03,Gift Basket Home
251791,OH,1342,1348,7,2016-01-04,Florist
213370,IL,1333,  -   ,11,2000-12-07,Gift Basket Home
247744,NY,1330,1326,12,2011-09-01,Gift Basket Home
270139,TX,1328,727,9,2017-04-03,Gift Basket Store
260571,WA,1327,232,10,2016-12-06,Gift Basket Home
29951,TX,1325,509,46,1995-11-09,Gift Basket Store
245618,IL,1324,903,60,2009-04-22,WINE
270032,WI,1323,6970,3,2017-01-23,Gift Basket 
280257,SC,1311,  -   ,4,2018-09-21,Gift Store
240677,NY,1311,1009,22,2006-07-13,Gift Basket Home
280258,TX,1310,  -   ,3,2018-09-24,Liquor
270286,NJ,1297,1680,5,2017-08-15,Gift Basket Store
36984,IL,1297,  -   ,86,1996-06-18,Gift Basket Home
280432,NY,1292,  -   ,1,2018-12-05,Gift Basket 
280435,WV,1287,  -   ,1,2018-12-06,Gift Basket Store
245922,TN,1286,1477,51,2009-09-01,Liquor
260096,TX,1279,714,18,2016-03-22,Gift Basket Home
251648,FL,1272,152,8,2015-11-13,Gift Basket Store
270403,WI,1266,150,4,2017-11-10,Specialty Food Store
260120,OR,1261,1552,17,2016-04-07,Gift Basket Home
251446,NY,1255,8936,24,2015-09-08,Gift Basket Store
249952,MS,1255,1026,12,2013-10-24,Gift Store
270341,VA,1252,1753,10,2017-09-28,Gift Basket Home
280268,RI,1246,  -   ,3,2018-09-28,Gift Basket Store
248677,IL,1241,1247,24,2012-07-23,WINE
250008,OH,1239,1720,16,2013-11-11,Gift Basket Store
236112,MI,1235,1032,45,2005-09-02,RR
280318,FL,1234,  -   ,2,2018-10-22,Florist
240732,NJ,1232,1388,17,2006-07-14,UNK
240880,MO,1231,988,56,2006-07-31,Gift Basket Home
251406,NY,1229,1219,6,2015-08-13,Gift Basket Store
280168,FL,1223,  -   ,6,2018-06-26,Gift Basket Store
280091,WI,1220,  -   ,6,2018-04-04,Specialty Food Store
251500,PA,1216,3117,11,2015-10-05,Gift Basket Store
280204,CT,1216,  -   ,3,2018-08-10,Specialty Food Store
251571,CA,1212,480,13,2015-10-28,Gift Basket Home
270137,MI,1203,1917,15,2017-04-03,Gift Basket Home
280327,NV,1198,  -   ,1,2018-10-25,Gift Basket Store
225112,TX,1197,5152,121,2003-03-17,Gift Packer
245257,TX,1197,1499,9,2008-12-03,Specialty Food Store
28059,PA,1194,1548,107,1995-07-14,Gift Basket Home
270294,FL,1186,614,3,2017-08-22,Liquor
270404,WA,1177,514,4,2017-11-13,Gift Basket Store
280431,TX,1174,  -   ,1,2018-12-05,Gift Basket Store
246257,WV,1170,620,23,2009-11-30,Gift Basket Home
232610,LA,1166,1785,45,2005-06-30,Liquor
231188,PA,1164,985,14,2004-10-27,Gift Basket Home
251346,MI,1162,  -   ,6,2015-06-26,Specialty Food Store
195857,MD,1158,2718,81,2005-02-28,Florist
246078,TX,1157,1892,27,2009-10-14,UNK
251379,IN,1152,730,6,2015-07-24,Specialty Food Store
249871,OH,1150,  -   ,8,2013-10-01,Florist
260326,AZ,1150,1864,13,2016-09-12,Gift Basket Store
260557,CT,1141,1299,5,2016-12-01,WINE
248332,AK,1136,2312,34,2012-02-15,Gift Store
260585,AZ,1134,818,7,2016-12-09,Gift Basket 
280388,FL,1132,  -   ,1,2018-11-15,Gift Basket 
251400,FL,1130,614,9,2015-08-06,WINERY
260325,BC,1123,1180,5,2016-09-09,Gift Basket Store
120057,PA,1117,1097,30,2005-02-28,Florist
260359,SD,1114,589,6,2016-09-26,Florist
246250,PA,1113,962,25,2009-11-30,Liquor
157500,RI,1112,1119,31,1998-08-14,Liquor
280256,VA,1104,  -   ,2,2018-09-21,Gift Basket Store
249105,OH,1102,919,7,2012-11-12,Gift Store
280250,NJ,1098,  -   ,2,2018-09-17,Florist
250890,WI,1086,1234,19,2014-11-12,WINERY
280261,NJ,1080,  -   ,3,2018-09-25,WINE
270425,WI,1071,274,3,2017-11-20,Gift Basket Store
244669,NY,1069,879,11,2008-08-07,Florist
248174,KY,1068,  -   ,4,2011-12-14,Gift Basket Store
280366,GA,1068,  -   ,1,2018-11-08,Gift Store
249402,NV,1067,1090,14,2013-01-29,Gift Basket Home
250617,OH,1066,3177,4,2014-08-08,WINERY
280332,OH,1057,  -   ,1,2018-10-26,Liquor
230509,OH,1051,923,37,2004-09-16,Gift Basket Store
270347,NJ,1040,700,3,2017-10-03,Liquor
270370,MI,1038,3136,5,2017-10-18,Specialty Food Store
280155,TN,1033,  -   ,8,2018-06-13,Gift Basket 
270305,MO,1029,693,4,2017-08-25,Specialty Food Store
250984,NV,1023,  -   ,10,2014-12-03,Gift Basket Home
280293,FL,1019,  -   ,2,2018-10-09,Gift Basket 
260103,FL,1018,1019,11,2016-03-28,Gift Basket Home
243184,MA,1016,  -   ,26,2007-09-05,WINE
240031,IA,1014,1483,52,2006-03-22,Gift Basket Home
247122,PA,1013,1181,24,2010-11-12,Florist
140559,CO,1008,823,45,1999-11-29,Florist
246354,WI,1004,1177,32,2010-01-05,DIST
270392,CA,1003,1763,6,2017-11-07,Gift Basket Store
250144,PA,999,689,7,2013-12-09,Gift Basket Home
280056,NY,998,  -   ,5,2018-03-05,Gift Basket Store
280089,FL,990,  -   ,3,2018-04-02,Gift Basket Home
233810,AR,986,1488,4,2005-08-31,Gift Basket Store
242473,MI,985,2011,47,2007-02-02,Gift Basket Home
248179,RI,980,  -   ,2,2011-12-14,Gift Store
280334,OH,980,  -   ,2,2018-10-29,Gift Basket Store
237810,IL,975,1034,39,2005-09-05,Florist
250947,NY,975,861,9,2014-11-24,Gift Basket Store
247615,NC,974,1814,40,2011-07-13,WINERY
247174,OH,969,2100,11,2010-11-23,WINERY
245018,OH,967,2491,30,2008-10-17,UNK
251497,VA,966,605,16,2015-10-01,Hotel
280050,NY,964,  -   ,2,2018-02-26,Florist
242614,MD,963,  -   ,2,2007-03-19,Florist
270130,RI,962,1159,19,2017-03-28,WINERY
251311,OH,960,1165,9,2015-05-29,UNK
280427,NY,952,  -   ,2,2018-12-05,Gift Basket 
232211,FL,952,  -   ,9,2005-03-22,Gift Basket Home
243338,MT,950,4721,40,2007-09-26,Gift Basket Store
243267,MI,947,533,19,2007-09-18,WINERY
250596,CA,944,1048,7,2014-07-25,Tax Exempt Charity 
250593,PA,932,1957,33,2014-07-24,Hotel
245056,NC,932,332,9,2008-10-27,WINE
246173,AR,928,849,47,2009-11-06,Gift Store
249079,WI,927,532,11,2012-11-06,Gift Store
280123,PA,925,  -   ,3,2018-05-14,Gift Basket Home
250223,UT,922,762,6,2014-01-07,Gift Store
280370,PA,919,  -   ,1,2018-11-09,Gift Store
280225,NJ,915,  -   ,5,2018-08-30,Gift Basket Store
280171,FL,915,  -   ,1,2018-06-28,Grocery
280069,MO,909,  -   ,3,2018-03-16,Gift Basket Store
244898,GA,908,862,48,2008-09-25,Gift Basket Store
245886,IN,904,1197,59,2009-08-18,OTH
250935,NJ,901,1194,27,2014-11-20,EVENT
280426,FL,894,  -   ,1,2018-12-04,Gift Basket Store
91909,PA,894,886,38,1998-09-23,Florist
250810,OH,891,578,14,2014-10-21,Gift Store
220430,TX,890,342,97,2002-04-26,Florist
270037,SC,886,5890,7,2017-01-26,Gift Store
248803,KS,884,1530,26,2012-08-28,WINERY
28351,FL,882,851,72,1995-08-08,Florist
270359,FL,873,360,7,2017-10-13,Gift Basket Store
280083,MO,872,  -   ,2,2018-03-26,WINERY
238918,WI,866,1750,25,2005-11-08,Gift Basket Store
247618,VA,862,1010,40,2011-07-13,WINERY
270156,CT,861,1278,21,2017-04-17,Gift Basket Home
280146,MA,859,  -   ,2,2018-06-06,Gift Basket Home
250309,AK,858,  -   ,6,2014-02-12,Gift Basket Home
249246,FL,852,299,13,2012-12-06,Florist
240802,FL,851,897,63,2006-07-19,Gift Basket Home
245485,OH,846,790,53,2009-02-25,WINERY
270245,KY,840,630,9,2017-07-12,Gift Basket Home
236721,IL,836,557,17,2005-09-05,WINE
246468,OK,834,1201,13,2010-02-15,Gift Basket Store
270323,CT,830,682,3,2017-09-12,Gift Basket Home
270416,NC,824,380,4,2017-11-15,WINERY
270360,KS,823,205,10,2017-10-16,WINERY
251306,OR,820,1592,11,2015-05-20,Gift Basket Home
249127,TX,817,438,13,2012-11-14,Gift Basket 
270351,OR,813,322,5,2017-10-06,WINERY
249861,CA,813,3527,15,2013-09-26,WINERY
249799,MI,805,1775,13,2013-08-16,Gift Store
249254,NV,805,893,4,2012-12-07,Gift Basket 
241263,WA,805,464,26,2006-09-28,Gift Basket Home
251074,AZ,798,1365,19,2014-12-22,Hotel
246849,MN,796,854,19,2010-08-23,Florist
92704,GA,789,505,71,1998-12-04,Florist
250864,PA,789,629,5,2014-11-05,Gift Store
251661,TN,788,1129,9,2015-11-17,Gift Basket Store
241629,NY,785,179,21,2006-10-19,Gift Basket 
245368,WY,782,1408,18,2009-01-06,Gift Basket Home
280047,NY,777,  -   ,3,2018-02-15,Gift Store
251697,CA,776,787,5,2015-11-24,Gift Basket 
251702,TX,775,1056,9,2015-11-24,Gift Basket Store
280101,WV,773,  -   ,1,2018-04-20,Gift Basket Home
248835,CA,760,824,3,2012-09-07,Gift Basket Home
247370,ID,760,  -   ,4,2011-02-23,Gift Basket Home
247950,IL,758,523,13,2011-10-26,WINE
39497,PA,756,728,30,1996-08-14,WINERY
246227,IN,756,1296,24,2009-11-18,WINERY
280305,VA,754,  -   ,1,2018-10-16,Gift Basket 
245928,PA,753,1123,35,2009-09-02,WINERY
249964,FL,750,344,14,2013-10-29,WINE
248042,NY,750,917,8,2011-11-21,Gift Basket 
270451,CA,743,233,7,2017-11-30,Gift Basket Store
280054,MD,743,  -   ,6,2018-02-28,Catalog
280273,NM,737,  -   ,1,2018-10-01,Gift Basket Store
248001,MO,735,890,15,2011-11-10,Gift Store
247347,NC,734,779,17,2011-02-08,WINE
245795,OH,728,473,55,2009-07-20,Gift Basket Home
280382,AZ,727,  -   ,1,2018-11-14,Gift Basket Store
243300,AL,724,3077,24,2007-09-19,Florist
280319,CO,724,  -   ,2,2018-10-22,Gift Basket Home
250814,NJ,721,1806,11,2014-10-21,Liquor
280156,NJ,720,  -   ,1,2018-06-13,Gift Basket Store
250551,MD,713,755,28,2014-06-30,Gift Basket Home
280430,TX,713,  -   ,1,2018-12-05,WINE
280243,PA,713,  -   ,4,2018-09-11,Florist
249605,FL,712,738,6,2013-05-03,Specialty Food Store
280140,WA,711,  -   ,2,2018-05-29,WINERY
30255,NY,709,305,37,1995-12-06,Gift Basket Home
260194,ND,708,815,5,2016-05-27,Florist
251767,MD,703,934,9,2015-12-14,Gift Basket Store
260455,FL,701,  -   ,3,2016-11-02,Liquor
234967,MI,700,296,13,2005-09-02,Gift Basket Store
237724,WI,697,741,32,2005-09-05,Gift Basket 
247686,OH,696,778,4,2011-08-09,Florist
247888,OH,695,848,24,2011-10-14,Gift Basket 
248702,PA,694,738,22,2012-08-02,Florist
260496,KS,694,340,6,2016-11-11,WINE
280411,MI,688,  -   ,1,2018-11-27,Gift Basket Store
260283,MA,677,888,7,2008-12-05,Gift Basket Store
280290,GA,676,  -   ,1,2018-10-08,Liquor
45670,CA,671,443,51,1995-06-14,Gift Basket Home
280387,TX,671,  -   ,1,2018-11-15,Gift Basket Store
248769,UT,667,1573,30,2012-08-17,Gift Basket Store
50672,PA,667,714,25,1997-12-08,Florist
246273,WV,666,598,10,2009-12-01,Gift Basket 
232742,IL,665,649,41,2005-07-27,Florist
234641,IL,665,1054,14,2005-09-02,WINE
260478,AZ,663,670,3,2016-11-09,Gift Store
247457,AL,662,530,14,2011-04-08,Gift Basket Store
234280,TN,662,2965,3,2005-09-02,RR
248884,NV,658,1228,39,2012-09-24,Gift Basket Home
260055,GA,658,  -   ,2,2016-02-25,WINE
123320,NC,656,818,19,2005-02-28,Florist
250921,CT,656,  -   ,6,2014-11-18,Gift Store
239593,FL,654,443,13,2006-02-06,Gift Basket Home
270138,MS,649,  -   ,4,2017-04-03,Gift Basket Store
280294,NJ,648,  -   ,1,2018-10-10,WINE
38402,IL,646,423,72,1996-07-25,Gift Basket Home
280414,OH,646,  -   ,1,2018-11-28,Gift Basket 
250994,WI,645,403,8,2014-12-05,Gift Store
280381,CA,641,  -   ,3,2018-11-14,Gift Basket Store
243620,IL,640,460,5,2007-11-05,Florist
280075,VT,639,  -   ,1,2018-03-20,Gift Basket Store
245096,MO,638,658,11,2008-11-03,Gift Basket 
249553,GA,637,1332,12,2013-04-09,Gift Basket Store
251522,TX,637,902,3,2015-10-14,Florist
260485,NJ,635,184,7,2016-11-10,Gift Basket Home
247313,AZ,634,  -   ,11,2011-01-21,Gift Basket Home
220490,SC,633,388,15,2002-05-01,Gift Basket 
280094,TX,630,  -   ,1,2018-04-12,Gift Basket Home
260547,MI,630,1199,7,2016-11-28,Gift Basket Home
251603,NH,628,107,8,2015-11-05,CT
